policy,max_depth,min_samples_leaf,selected_threshold,valid_overall_entity_decision_acc,valid_duplicate_entity_recall,valid_singleton_entity_precision,valid_false_merge_rate,test_overall_entity_decision_acc,test_duplicate_entity_recall,test_singleton_entity_precision,test_false_merge_rate,test_edges,constraint_dataset
tree_guardrail_depth4_leaf1000,4,1000,0.9,0.8576995600251415,0.3655564581640942,0.9477989292088043,0.35988620199146515,0.8577580903162298,0.3390946502057613,0.9489293981481481,0.37858220211161386,663,guardrail
tree_guardrail_smallblock2_depth4_leaf200,4,200,0.9,0.832683846637335,0.3850528025995126,0.9146341463414634,0.44431418522860494,0.8394241417497231,0.36131687242798355,0.9234664351851852,0.4457070707070707,792,guardrail_smallblock2
tree_guardrail_depth5_leaf1000,5,1000,0.9,0.8404776869893149,0.40454914703493094,0.9202855443188578,0.41480611045828436,0.8393010951150486,0.3728395061728395,0.9212962962962963,0.4468864468864469,819,guardrail
tree_guardrail_depth6_leaf1000,6,1000,0.9,0.8404776869893149,0.40454914703493094,0.9202855443188578,0.41480611045828436,0.8393010951150486,0.3728395061728395,0.9212962962962963,0.4468864468864469,819,guardrail
tree_guardrail_depth3_leaf50,3,50,0.9,0.836203645505971,0.3249390739236393,0.9298036882807853,0.453551912568306,0.836224929248185,0.3012345679012346,0.9302662037037037,0.47564469914040114,698,guardrail
tree_guardrail_depth3_leaf200,3,200,0.9,0.836203645505971,0.3249390739236393,0.9298036882807853,0.453551912568306,0.836224929248185,0.3012345679012346,0.9302662037037037,0.47564469914040114,698,guardrail
tree_guardrail_depth3_leaf1000,3,1000,0.9,0.836203645505971,0.3249390739236393,0.9298036882807853,0.453551912568306,0.836224929248185,0.3012345679012346,0.9302662037037037,0.47564469914040114,698,guardrail
tree_guardrail_depth6_leaf50,6,50,0.9,0.8330609679446889,0.44029244516653127,0.9049672813801308,0.4264550264550265,0.8300725975144579,0.4016460905349794,0.9053819444444444,0.4583795782463929,901,guardrail
tree_guardrail_smallblock2_depth4_leaf50,4,50,0.9,0.8225015713387807,0.3850528025995126,0.902587745389649,0.47157190635451507,0.8255198720314999,0.36131687242798355,0.9071180555555556,0.48413631022326675,851,guardrail_smallblock2
tree_guardrail_smallblock2_depth5_leaf50,5,50,0.9,0.8206159648020113,0.40861088545897645,0.896044021415824,0.47108307045215564,0.8209671465485419,0.3794238683127572,0.8985821759259259,0.5010822510822511,924,guardrail_smallblock2
tree_guardrail_smallblock2_depth6_leaf50,6,50,0.9,0.8189817724701446,0.45329000812347686,0.885930993456276,0.455609756097561,0.8201058201058201,0.4123456790123457,0.8917824074074074,0.48297213622291024,969,guardrail_smallblock2
tree_guardrail_depth4_leaf50,4,50,0.9,0.8242614707730986,0.3753046303818034,0.906454491374182,0.4689655172413793,0.8183831672203765,0.34814814814814815,0.9010416666666666,0.5092807424593968,862,guardrail
tree_guardrail_depth4_leaf200,4,200,0.9,0.8242614707730986,0.3753046303818034,0.906454491374182,0.4689655172413793,0.8183831672203765,0.34814814814814815,0.9010416666666666,0.5092807424593968,862,guardrail
tree_guardrail_depth5_leaf200,5,200,0.9,0.8243871778755499,0.40129975629569453,0.9018441403926234,0.4653679653679654,0.8154300479881875,0.36460905349794237,0.8946759259259259,0.5169029443838604,917,guardrail
tree_guardrail_smallblock2_depth4_leaf1000,4,1000,0.9,0.8183532369578881,0.3809910641754671,0.8984235574063058,0.481767955801105,0.8144456749107912,0.35802469135802467,0.8946759259259259,0.5155902004454342,898,guardrail_smallblock2
tree_guardrail_smallblock2_depth5_leaf200,5,200,0.9,0.8120678818353237,0.40861088545897645,0.885930993456276,0.4919191919191919,0.8113695090439277,0.3802469135802469,0.8871527777777778,0.5222337125129266,967,guardrail_smallblock2
tree_depth5_leaf50,5,50,0.9,0.8170961659333752,0.30463038180341184,0.9109161213563355,0.5346534653465347,0.811000369139904,0.27325102880658436,0.9055266203703703,0.5770700636942675,785,
tree_guardrail_depth6_leaf200,6,200,0.9,0.8211187932118165,0.4394800974817222,0.8909875074360499,0.4573721163490471,0.8108773225052295,0.4,0.8831018518518519,0.5065989847715736,985,guardrail
tree_depth3_leaf50,3,50,0.8,0.8042740414833438,0.10316815597075549,0.9326293872694824,0.7257019438444925,0.8106312292358804,0.10781893004115227,0.9341724537037037,0.7164502164502164,462,
tree_depth3_leaf200,3,200,0.8,0.8042740414833438,0.10316815597075549,0.9326293872694824,0.7257019438444925,0.8106312292358804,0.10781893004115227,0.9341724537037037,0.7164502164502164,462,
tree_depth6_leaf50,6,50,0.9,0.8135763670647391,0.314378554021121,0.9049672813801308,0.5364396654719236,0.8100159960625077,0.2831275720164609,0.9026331018518519,0.5742574257425742,808,
tree_guardrail_depth5_leaf50,5,50,0.9,0.8203645505971088,0.40129975629569453,0.8970850684116597,0.474468085106383,0.8087855297157622,0.36460905349794237,0.8868634259259259,0.5312169312169313,945,guardrail
tree_guardrail_smallblock2_depth3_leaf50,3,50,0.9,0.802639849151477,0.3395613322502031,0.8874182034503272,0.5386313465783664,0.8078011566383659,0.31934156378600825,0.8936631944444444,0.5477855477855478,858,guardrail_smallblock2
tree_guardrail_smallblock2_depth3_leaf200,3,200,0.9,0.802639849151477,0.3395613322502031,0.8874182034503272,0.5386313465783664,0.8078011566383659,0.31934156378600825,0.8936631944444444,0.5477855477855478,858,guardrail_smallblock2
tree_guardrail_smallblock2_depth6_leaf200,6,200,0.9,0.8038969201759899,0.44679122664500404,0.869274241522903,0.49355432780847147,0.8027562446167097,0.4090534979423868,0.8719618055555556,0.5234899328859061,1043,guardrail_smallblock2
tree_guardrail_smallblock2_depth5_leaf1000,5,1000,0.9,0.8085480829666876,0.4159220146222583,0.8804283164782868,0.49256689791873143,0.8027562446167097,0.3893004115226337,0.8754340277777778,0.532608695652174,1012,guardrail_smallblock2
tree_guardrail_smallblock2_depth6_leaf1000,6,1000,0.9,0.8085480829666876,0.4159220146222583,0.8804283164782868,0.49256689791873143,0.8027562446167097,0.3893004115226337,0.8754340277777778,0.532608695652174,1012,guardrail_smallblock2
tree_depth5_leaf200,5,200,0.8,0.8057825267127593,0.2908204711616572,0.900059488399762,0.5768321513002365,0.8014027316352897,0.2625514403292181,0.8961226851851852,0.6085889570552148,815,
tree_depth2_leaf50,2,50,0.9,0.791703331238215,0.08204711616571893,0.9216240333135038,0.7882599580712788,0.8014027316352897,0.08559670781893004,0.9272280092592593,0.7739130434782608,460,
tree_depth2_leaf200,2,200,0.9,0.791703331238215,0.08204711616571893,0.9216240333135038,0.7882599580712788,0.8014027316352897,0.08559670781893004,0.9272280092592593,0.7739130434782608,460,
tree_depth2_leaf1000,2,1000,0.9,0.791703331238215,0.08204711616571893,0.9216240333135038,0.7882599580712788,0.8014027316352897,0.08559670781893004,0.9272280092592593,0.7739130434782608,460,
tree_depth6_leaf200,6,200,0.9,0.8062853551225644,0.2932575142160845,0.9002082093991671,0.5737898465171193,0.8011566383659406,0.26584362139917694,0.8952546296296297,0.6084848484848485,825,
tree_depth3_leaf1000,3,1000,0.8,0.7922061596480201,0.08123476848090982,0.9223676383105295,0.7890295358649789,0.8011566383659406,0.08477366255144032,0.9270833333333334,0.775599128540305,459,
tree_guardrail_smallblock2_depth3_leaf1000,3,1000,0.9,0.801759899434318,0.3395613322502031,0.8863771564544913,0.5401540154015402,0.800541405192568,0.31934156378600825,0.8851273148148148,0.5659955257270693,894,guardrail_smallblock2
tree_guardrail_depth2_leaf50,2,50,0.6,0.7969830295411691,0.16490658001624695,0.9127007733491969,0.6655683690280065,0.797588285960379,0.15390946502057612,0.9107349537037037,0.6964285714285714,616,guardrail
tree_guardrail_depth2_leaf200,2,200,0.6,0.7969830295411691,0.16490658001624695,0.9127007733491969,0.6655683690280065,0.797588285960379,0.15390946502057612,0.9107349537037037,0.6964285714285714,616,guardrail
tree_guardrail_depth2_leaf1000,2,1000,0.6,0.7969830295411691,0.16490658001624695,0.9127007733491969,0.6655683690280065,0.797588285960379,0.15390946502057612,0.9107349537037037,0.6964285714285714,616,guardrail
tree_guardrail_smallblock2_depth2_leaf50,2,50,0.9,0.7969830295411691,0.16490658001624695,0.9127007733491969,0.6655683690280065,0.797588285960379,0.15390946502057612,0.9107349537037037,0.6964285714285714,616,guardrail_smallblock2
tree_guardrail_smallblock2_depth2_leaf200,2,200,0.9,0.7969830295411691,0.16490658001624695,0.9127007733491969,0.6655683690280065,0.797588285960379,0.15390946502057612,0.9107349537037037,0.6964285714285714,616,guardrail_smallblock2
tree_guardrail_smallblock2_depth2_leaf1000,2,1000,0.9,0.7969830295411691,0.16490658001624695,0.9127007733491969,0.6655683690280065,0.797588285960379,0.15390946502057612,0.9107349537037037,0.6964285714285714,616,guardrail_smallblock2
tree_depth6_leaf1000,6,1000,0.9,0.7989943431803896,0.29406986190089357,0.8914336704342654,0.5914221218961625,0.7910668143226283,0.2609053497942387,0.8842592592592593,0.6360505166475315,871,
tree_depth5_leaf1000,5,1000,0.9,0.7924575738529227,0.26401299756295693,0.8892028554431886,0.6212121212121212,0.7888519748984866,0.23045267489711935,0.8870081018518519,0.6585365853658537,820,
tree_depth4_leaf50,4,50,0.7,0.7811439346323067,0.15840779853777417,0.8951516954193932,0.7206303724928367,0.786021902300972,0.15308641975308643,0.8972800925925926,0.7280701754385965,684,
tree_depth4_leaf200,4,200,0.7,0.7805153991200503,0.15678310316815597,0.8947055324211779,0.7238912732474965,0.7850375292235757,0.15390946502057612,0.8959780092592593,0.7297687861271677,692,
