iter	Passed	Remaining
0	12	6356
1	22	5486
2	30	5126
3	39	4898
4	48	4771
5	57	4738
6	66	4691
7	75	4657
8	84	4612
9	94	4613
10	103	4607
11	113	4595
12	122	4576
13	131	4570
14	141	4560
15	150	4555
16	160	4559
17	169	4544
18	179	4547
19	188	4528
20	198	4537
21	209	4547
22	219	4542
23	229	4543
24	238	4524
25	247	4519
26	257	4517
27	267	4508
28	277	4503
29	286	4492
30	296	4488
31	305	4473
32	315	4465
33	324	4452
34	335	4456
35	344	4444
36	354	4437
37	363	4424
38	374	4427
39	384	4416
40	392	4399
41	402	4388
42	412	4383
43	422	4379
44	432	4370
45	442	4371
46	452	4363
47	463	4364
48	473	4362
49	483	4355
50	494	4349
51	504	4346
52	514	4341
53	523	4326
54	533	4314
55	542	4303
56	551	4289
57	561	4281
58	570	4266
59	580	4258
60	589	4242
61	599	4232
62	609	4227
63	619	4218
64	628	4203
65	637	4189
66	647	4184
67	658	4181
68	668	4176
69	679	4173
70	689	4166
71	699	4158
72	709	4151
73	720	4145
74	729	4133
75	740	4128
76	749	4117
77	760	4115
78	771	4109
79	781	4104
80	792	4100
81	802	4089
82	812	4084
83	821	4070
84	831	4060
85	841	4050
86	850	4038
87	860	4028
88	870	4019
89	881	4016
90	891	4008
91	902	4000
92	911	3988
93	921	3978
94	931	3971
95	941	3962
96	950	3950
97	960	3941
98	970	3932
99	979	3918
100	989	3910
101	999	3901
102	1010	3893
103	1020	3884
104	1029	3874
105	1039	3863
106	1050	3857
107	1061	3851
108	1070	3840
109	1080	3832
110	1090	3822
111	1102	3819
112	1113	3813
113	1123	3803
114	1133	3793
115	1142	3780
116	1152	3771
117	1161	3761
118	1170	3748
119	1181	3740
120	1192	3733
121	1202	3727
122	1212	3717
123	1223	3711
124	1234	3702
125	1243	3691
126	1253	3681
127	1263	3670
128	1273	3662
129	1282	3650
130	1292	3641
131	1302	3631
132	1311	3619
133	1321	3609
134	1331	3599
135	1340	3588
136	1350	3577
137	1359	3567
138	1370	3559
139	1379	3547
140	1389	3537
141	1399	3528
142	1408	3516
143	1418	3506
144	1428	3496
145	1436	3482
146	1445	3471
147	1455	3461
148	1464	3450
149	1474	3439
150	1483	3429
151	1494	3420
152	1503	3409
153	1512	3398
154	1521	3387
155	1530	3375
156	1539	3364
157	1550	3355
158	1559	3345
159	1569	3334
160	1579	3325
161	1589	3316
162	1600	3308
163	1610	3300
164	1621	3292
165	1630	3281
166	1640	3270
167	1649	3260
168	1659	3249
169	1669	3240
170	1679	3230
171	1689	3222
172	1699	3213
173	1710	3205
174	1720	3195
175	1731	3188
176	1740	3175
177	1749	3165
178	1760	3156
179	1771	3149
180	1782	3141
181	1791	3130
182	1801	3119
183	1810	3108
184	1819	3097
185	1827	3085
186	1837	3075
187	1845	3062
188	1854	3051
189	1863	3041
190	1873	3030
191	1882	3019
192	1893	3011
193	1902	3001
194	1912	2991
195	1921	2980
196	1930	2969
197	1940	2959
198	1950	2949
199	1959	2939
200	1969	2929
201	1979	2919
202	1988	2909
203	1998	2899
204	2009	2892
205	2020	2883
206	2031	2874
207	2040	2864
208	2051	2856
209	2060	2845
210	2069	2834
211	2080	2826
212	2090	2816
213	2099	2806
214	2109	2796
215	2120	2787
216	2129	2777
217	2138	2766
218	2148	2756
219	2157	2746
220	2167	2735
221	2177	2726
222	2187	2717
223	2196	2705
224	2205	2695
225	2215	2685
226	2225	2676
227	2234	2665
228	2243	2654
229	2251	2643
230	2261	2634
231	2271	2623
